date,Open,High,Low,Close,Volume,RSI,SMA_20,EMA_50,MACD,BB_upper,BB_middle,BB_lower
2004-10-28,186.63,194.39,185.6,193.3,29663900.0,81.83404734772651,151.3605,127.04670000000002,16.963924833760473,198.0500771447027,184.18,170.30992285529732
2004-10-29,198.87,199.95,190.6,190.64,42282600.0,78.83187380081814,154.2635,129.5405549019608,17.641360627398996,195.7123525903476,187.822,179.9316474096524
2004-11-01,193.5,197.67,191.27,196.03,24425300.0,80.40089835505805,157.312,132.14798412149176,18.401045529795027,199.75074002413103,189.548,179.34525997586897
2004-11-02,198.73,199.25,193.34,194.87,22669900.0,79.04300804007504,160.137,134.60767101868817,18.694006116802797,199.33121641464433,192.16199999999998,184.99278358535562
2004-11-03,198.19,201.6,190.75,191.67,27749600.0,75.26656815060839,162.8665,136.84540941011215,18.455225880221377,197.2668737684832,193.302,189.33712623151678
2004-11-04,188.25,190.4,183.35,184.7,28790300.0,67.68154573003928,165.159,138.7220600214803,17.50181998682885,199.5244268331541,191.582,183.63957316684588
2004-11-05,182.0,182.3,168.55,169.35,39626500.0,54.62552906408037,166.74,139.92315570691244,15.330897193010458,206.95202730790862,187.324,167.6959726920914
2004-11-08,170.86,175.44,169.4,172.55,22361200.0,56.50902984490821,168.6045,141.20263979683745,13.710591332406182,202.90190204178774,182.628,162.35409795821224
2004-11-09,174.1,175.2,165.27,168.7,22106200.0,53.6248914821569,170.16950000000003,142.28096764794188,11.977752366606182,195.7447540989466,177.394,159.0432459010534
2004-11-10,170.67,172.52,166.33,167.86,21266700.0,52.98942783645371,171.51749999999998,143.28406695586574,10.416607850761665,185.11070121446963,172.632,160.15329878553038
2004-11-11,169.32,183.75,167.57,183.02,29941000.0,61.78991783733266,173.5685,144.84233883994946,10.284125875661118,183.48016451953413,172.296,161.11183548046586
2004-11-12,185.23,189.8,177.4,182.0,33458700.0,60.96299823209248,175.463,146.29950202269654,9.981763919378238,187.78257732582202,174.826,161.86942267417797
2004-11-15,180.45,188.32,178.75,184.87,23779100.0,62.484332868629195,177.2485,147.8120705708261,9.860064222354566,192.12742295683472,177.29000000000002,162.45257704316532
2004-11-16,174.39,179.47,170.83,172.545,41792900.0,52.94230168008321,178.47875,148.7819893719702,8.669159169445948,191.3543080445699,178.059,164.7636919554301
2004-11-17,169.02,177.5,169.0,172.5,36229500.0,52.91053132371604,180.07925,149.71210743581452,7.633730319794523,189.70272601366818,178.987,168.2712739863318
2004-11-18,170.4,174.42,165.73,167.54,33225900.0,49.39223970469139,180.98725,150.41124047754727,6.339833297192456,188.86408351934904,175.891,162.91791648065094
2004-11-19,169.06,169.98,166.52,169.4,17521000.0,50.71570990611731,180.83575,151.1558977137219,5.4022235695447876,185.48503549606846,173.371,161.25696450393156
2004-11-22,168.6,169.5,161.31,165.1,24711600.0,47.615536901137595,179.72075,151.70272525436027,4.263045309199214,175.17541505971974,169.417,163.65858494028026
2004-11-23,167.915,170.83,166.5,167.52,24801700.0,49.486987156807345,179.00675,152.323010538503,3.5149934492794728,173.32836288327127,168.412,163.49563711672874
2004-11-24,174.84,177.21,172.51,174.76,30531400.0,54.70100207289161,178.44625,153.20289247816956,3.466405884393282,175.36182240446806,168.864,162.36617759553195
2004-11-26,175.8,180.03,175.32,179.39,12947200.0,57.70749065376494,177.75074999999998,154.22983787118253,3.758180232309911,181.57755142105486,171.23399999999998,160.8904485789451
2004-11-29,180.255,182.95,177.51,181.05,21311800.0,58.76420384332426,177.27125,155.28160893505773,4.0763717558079975,186.19988920495925,173.564,160.92811079504074
2004-11-30,180.7,183.0,180.25,181.98,15384600.0,59.376595875323794,176.56875,156.32860466309467,4.353400764180492,187.5902582128324,176.94,166.2897417871676
2004-12-01,181.77,182.5,179.55,179.96,15712400.0,57.38320239787634,175.82325,157.25532604885566,4.359695277701036,184.4254617557319,179.428,174.4305382442681
2004-12-02,179.9,181.51,178.55,179.4,12509200.0,56.81375635041546,175.20975,158.12374463517506,4.270271374872948,182.38043473592074,180.356,178.33156526407925
2004-12-03,180.0,181.06,177.6,180.4,11726600.0,57.622479729478954,174.99475,158.9973232769329,4.2313179310632165,182.3440974217557,180.558,178.7719025782443
2004-12-06,179.13,180.7,176.02,176.29,12495400.0,53.211954752399734,175.34175,159.6754674621512,3.8247154559294927,183.34015800415608,179.606,175.8718419958439
2004-12-07,176.0,176.2,170.55,171.43,13728000.0,48.48595765390831,175.28575,160.136429522459,3.074873454546349,184.21198213219813,177.496,170.7800178678019
2004-12-08,170.57,173.68,168.73,169.98,15068500.0,47.140726473844104,175.34975,160.52245189412727,2.336679596430855,183.8368771131645,175.5,167.1631228868355
